OrderId,EmployeeId,SaleDate,AmountSold,PaymentType,ThingsOrdered,ThingsOrderedNames
1,6,2024-10-28 11:54:00,30.90,Cash,"[20, 21, 5, 5, 22, 11, 12, 11, 17]","['Teriyaki Chicken', 'Chow Mein', 'White Rice', 'Apple Juice', 'Mushroom Chicken', 'String Bean Chicken', 'Super Greens']"
2,4,2024-10-28 11:17:00,40.15,Cash,"[8, 1, 3, 2, 4, 11, 12, 10, 11, 16, 17, 23, 24, 13]","['Orange Chicken', 'Beijing Beef', 'Kung Pao Chicken', 'Honey Walnut Shrimp', 'Broccoli Beef', 'Fried Rice', 'Chow Mein', 'White Rice', 'Egg Roll', 'Coke', 'Apple Juice', 'Cream Cheese Rangoons', 'Apple Pie Roll']"
3,9,2024-10-28 18:41:00,45.30,Credit,"[5, 20, 6, 18, 2, 18, 3, 8, 11, 11, 11, 10, 15, 16, 13, 13]","['Beijing Beef', 'Kung Pao Chicken', 'Teriyaki Chicken', 'SweetFire Chicken Breast', 'Broccoli Beef', 'Fried Rice', 'Chow Mein', 'Egg Roll', 'Fountain Soda', 'Coke', 'Bourbon Chicken', 'Mushroom Chicken']"
4,6,2024-10-28 09:25:00,18.30,Cash,"[4, 12, 16, 25, 25, 16]","['Honey Walnut Shrimp', 'White Rice', 'Coke', 'Water Bottle']"
5,10,2024-10-28 19:17:00,18.20,Cash,"[4, 4, 3, 12, 12, 15]","['Kung Pao Chicken', 'Honey Walnut Shrimp', 'White Rice', 'Fountain Soda']"
6,4,2024-10-28 08:22:00,22.70,Cash,"[8, 22, 22, 25, 25, 17, 16]","['Broccoli Beef', 'Coke', 'Apple Juice', 'Super Greens', 'Water Bottle']"
7,1,2024-10-28 09:30:00,12.90,Gift Card,"[4, 3, 15]","['Kung Pao Chicken', 'Honey Walnut Shrimp', 'Fountain Soda']"
8,7,2024-10-28 13:36:00,37.80,Cash,"[1, 20, 2, 2, 19, 1, 20, 22, 22, 15, 15, 16, 25]","['Orange Chicken', 'Beijing Beef', 'Fountain Soda', 'Coke', 'Honey Sesame Chicken', 'Mushroom Chicken', 'Super Greens', 'Water Bottle']"
9,1,2024-10-28 20:05:00,49.15,Gift Card,"[8, 21, 5, 9, 6, 21, 9, 16, 15, 25, 24, 13, 23]","['Teriyaki Chicken', 'SweetFire Chicken Breast', 'Broccoli Beef', 'Sweet and Sour Chicken Breast', 'Egg Roll', 'Fountain Soda', 'Coke', 'String Bean Chicken', 'Cream Cheese Rangoons', 'Apple Pie Roll', 'Water Bottle']"
10,2,2024-10-28 11:51:00,33.75,Cash,"[5, 6, 21, 8, 7, 3, 22, 12, 22, 25, 16, 14]","['Kung Pao Chicken', 'Teriyaki Chicken', 'SweetFire Chicken Breast', 'Black Pepper Steak', 'Broccoli Beef', 'White Rice', 'Spring Roll', 'Coke', 'String Bean Chicken', 'Super Greens', 'Water Bottle']"
11,2,2024-10-28 15:47:00,33.50,Cash,"[8, 1, 9, 7, 3, 15, 25, 16]","['Orange Chicken', 'Kung Pao Chicken', 'Black Pepper Steak', 'Broccoli Beef', 'Sweet and Sour Chicken Breast', 'Fountain Soda', 'Coke', 'Water Bottle']"
12,3,2024-10-28 08:43:00,23.30,Gift Card,"[8, 2, 12, 16, 17, 15, 17, 23, 13]","['Beijing Beef', 'Broccoli Beef', 'White Rice', 'Egg Roll', 'Fountain Soda', 'Coke', 'Apple Juice', 'Cream Cheese Rangoons']"
13,10,2024-10-28 09:39:00,16.40,Cash,"[6, 5, 17, 24, 24]","['Teriyaki Chicken', 'SweetFire Chicken Breast', 'Apple Juice', 'Apple Pie Roll']"
14,1,2024-10-28 11:13:00,25.50,Cash,"[6, 4, 20, 19, 19, 22, 12, 22]","['Honey Walnut Shrimp', 'SweetFire Chicken Breast', 'White Rice', 'Honey Sesame Chicken', 'Mushroom Chicken', 'Super Greens']"
15,2,2024-10-28 20:50:00,32.55,Gift Card,"[9, 9, 8, 5, 25, 16, 16, 25, 23]","['Teriyaki Chicken', 'Broccoli Beef', 'Sweet and Sour Chicken Breast', 'Coke', 'Cream Cheese Rangoons', 'Water Bottle']"
16,10,2024-10-28 17:37:00,39.00,Cash,"[19, 4, 18, 18, 18, 12, 10, 12, 25, 17, 16, 25, 13, 24]","['Honey Walnut Shrimp', 'Fried Rice', 'White Rice', 'Egg Roll', 'Coke', 'Apple Juice', 'Bourbon Chicken', 'Honey Sesame Chicken', 'Apple Pie Roll', 'Water Bottle']"
17,5,2024-10-28 13:36:00,44.55,Cash,"[6, 4, 4, 8, 1, 2, 8, 7, 22, 12, 10, 11, 15, 23, 24, 13]","['Orange Chicken', 'Beijing Beef', 'Honey Walnut Shrimp', 'SweetFire Chicken Breast', 'Black Pepper Steak', 'Broccoli Beef', 'Fried Rice', 'Chow Mein', 'White Rice', 'Egg Roll', 'Fountain Soda', 'Super Greens', 'Cream Cheese Rangoons', 'Apple Pie Roll']"
18,8,2024-10-28 10:02:00,22.15,Cash,"[18, 21, 17, 16, 16, 25, 14]","['Spring Roll', 'Coke', 'Apple Juice', 'Bourbon Chicken', 'String Bean Chicken', 'Water Bottle']"
19,9,2024-10-28 12:28:00,55.10,Credit,"[8, 6, 18, 21, 2, 19, 2, 9, 15, 15, 16, 17, 13, 23]","['Beijing Beef', 'SweetFire Chicken Breast', 'Broccoli Beef', 'Sweet and Sour Chicken Breast', 'Egg Roll', 'Fountain Soda', 'Coke', 'Apple Juice', 'Bourbon Chicken', 'Honey Sesame Chicken', 'String Bean Chicken', 'Cream Cheese Rangoons']"
20,7,2024-10-28 11:59:00,40.75,Gift Card,"[8, 18, 21, 8, 20, 4, 5, 21, 12, 10, 16, 24, 13, 24]","['Honey Walnut Shrimp', 'Teriyaki Chicken', 'Broccoli Beef', 'Fried Rice', 'White Rice', 'Egg Roll', 'Coke', 'Bourbon Chicken', 'Mushroom Chicken', 'String Bean Chicken', 'Apple Pie Roll']"
21,10,2024-10-28 12:27:00,28.75,Cash,"[4, 19, 18, 12, 12, 22, 10, 15, 23]","['Honey Walnut Shrimp', 'Fried Rice', 'White Rice', 'Fountain Soda', 'Bourbon Chicken', 'Honey Sesame Chicken', 'Super Greens', 'Cream Cheese Rangoons']"
22,1,2024-10-28 10:53:00,18.90,Cash,"[19, 1, 17, 25, 14, 23]","['Orange Chicken', 'Spring Roll', 'Apple Juice', 'Honey Sesame Chicken', 'Cream Cheese Rangoons', 'Water Bottle']"
