EmployeeId,SaleDate,AmountSold,PaymentType
6,2024-10-28 11:54:00,30.90,Cash
4,2024-10-28 11:17:00,40.15,Cash
9,2024-10-28 18:41:00,45.30,Credit
6,2024-10-28 09:25:00,18.30,Cash
10,2024-10-28 19:17:00,18.20,Cash
4,2024-10-28 08:22:00,22.70,Cash
1,2024-10-28 09:30:00,12.90,Gift Card
7,2024-10-28 13:36:00,37.80,Cash
1,2024-10-28 20:05:00,49.15,Gift Card
2,2024-10-28 11:51:00,33.75,Cash
2,2024-10-28 15:47:00,33.50,Cash
3,2024-10-28 08:43:00,23.30,Gift Card
10,2024-10-28 09:39:00,16.40,Cash
1,2024-10-28 11:13:00,25.50,Cash
2,2024-10-28 20:50:00,32.55,Gift Card
10,2024-10-28 17:37:00,39.00,Cash
5,2024-10-28 13:36:00,44.55,Cash
8,2024-10-28 10:02:00,22.15,Cash
9,2024-10-28 12:28:00,55.10,Credit
7,2024-10-28 11:59:00,40.75,Gift Card
10,2024-10-28 12:27:00,28.75,Cash
1,2024-10-28 10:53:00,18.90,Cash
5,2024-10-28 13:13:00,30.95,Credit
6,2024-10-28 19:09:00,29.25,Gift Card
7,2024-10-28 11:32:00,19.60,Gift Card
1,2024-10-28 16:06:00,24.60,Gift Card
7,2024-10-28 09:37:00,23.35,Cash
4,2024-10-28 14:22:00,28.00,Gift Card
4,2024-10-28 17:13:00,12.95,Gift Card
4,2024-10-28 15:41:00,35.75,Cash
2,2024-10-28 11:51:00,28.00,Gift Card
5,2024-10-28 14:08:00,36.00,Cash
5,2024-10-28 16:03:00,42.30,Credit
3,2024-10-28 20:07:00,45.65,Credit
4,2024-10-28 12:49:00,40.15,Cash
10,2024-10-28 17:50:00,21.70,Cash
9,2024-10-28 16:26:00,47.65,Credit
4,2024-10-28 16:52:00,22.80,Gift Card
7,2024-10-28 10:27:00,27.85,Credit
10,2024-10-28 10:02:00,42.05,Gift Card
3,2024-10-28 20:31:00,15.55,Credit
7,2024-10-28 14:16:00,26.50,Cash
1,2024-10-28 20:12:00,34.80,Cash
8,2024-10-28 16:35:00,27.10,Cash
9,2024-10-28 18:13:00,38.50,Cash
6,2024-10-28 09:08:00,23.85,Gift Card
1,2024-10-28 18:52:00,42.15,Gift Card
2,2024-10-28 09:57:00,25.45,Credit
5,2024-10-28 19:40:00,34.25,Gift Card
9,2024-10-28 17:52:00,49.80,Cash
7,2024-10-28 09:47:00,23.05,Gift Card
4,2024-10-28 10:29:00,33.05,Gift Card
8,2024-10-28 15:09:00,47.80,Cash
10,2024-10-28 11:08:00,29.60,Credit
1,2024-10-28 20:03:00,37.05,Gift Card
4,2024-10-28 18:59:00,36.45,Credit
9,2024-10-28 12:11:00,23.10,Cash
4,2024-10-28 14:32:00,21.10,Gift Card
4,2024-10-28 14:19:00,46.65,Cash
