OrderId,ThingsOrdered
1,"[20, 21, 5, 5, 22, 11, 12, 11, 17]"
2,"[8, 1, 3, 2, 4, 11, 12, 10, 11, 16, 17, 23, 24, 13]"
3,"[5, 20, 6, 18, 2, 18, 3, 8, 11, 11, 11, 10, 15, 16, 13, 13]"
4,"[4, 12, 16, 25, 25, 16]"
5,"[4, 4, 3, 12, 12, 15]"
6,"[8, 22, 22, 25, 25, 17, 16]"
7,"[4, 3, 15]"
8,"[1, 20, 2, 2, 19, 1, 20, 22, 22, 15, 15, 16, 25]"
9,"[8, 21, 5, 9, 6, 21, 9, 16, 15, 25, 24, 13, 23]"
10,"[5, 6, 21, 8, 7, 3, 22, 12, 22, 25, 16, 14]"
11,"[8, 1, 9, 7, 3, 15, 25, 16]"
12,"[8, 2, 12, 16, 17, 15, 17, 23, 13]"
13,"[6, 5, 17, 24, 24]"
14,"[6, 4, 20, 19, 19, 22, 12, 22]"
15,"[9, 9, 8, 5, 25, 16, 16, 25, 23]"
16,"[19, 4, 18, 18, 18, 12, 10, 12, 25, 17, 16, 25, 13, 24]"
17,"[6, 4, 4, 8, 1, 2, 8, 7, 22, 12, 10, 11, 15, 23, 24, 13]"
18,"[18, 21, 17, 16, 16, 25, 14]"
19,"[8, 6, 18, 21, 2, 19, 2, 9, 15, 15, 16, 17, 13, 23]"
20,"[8, 18, 21, 8, 20, 4, 5, 21, 12, 10, 16, 24, 13, 24]"
21,"[4, 19, 18, 12, 12, 22, 10, 15, 23]"
22,"[19, 1, 17, 25, 14, 23]"
23,"[19, 21, 19, 2, 8, 11, 16, 15, 16, 13]"
24,"[6, 4, 19, 18, 10, 10, 12, 14, 13, 14]"
25,"[1, 10, 11, 10, 15]"
26,"[1, 12, 10, 10, 17, 25, 25]"
27,"[1, 19, 3, 15, 13, 13, 13]"
28,"[6, 8, 4, 19, 5, 12, 12, 12, 15]"
29,"[2, 17, 14, 14, 14]"
30,"[7, 1, 5, 6, 11, 22, 11, 17, 16, 25, 17, 23]"
31,"[4, 21, 19, 12, 22, 10, 11, 13, 13]"
32,"[9, 12, 12, 12, 12, 15, 17, 25, 14, 23, 13, 24]"
33,"[18, 19, 4, 3, 1, 6, 3, 10, 22, 25, 16, 25, 24, 24, 24, 13]"
34,"[7, 8, 2, 18, 5, 6, 20, 17, 25, 17, 14]"
35,"[6, 3, 20, 4, 1, 22, 12, 11, 22, 15, 16, 13, 23, 14]"
36,"[21, 1, 2, 10, 10, 17, 13, 13]"
37,"[4, 21, 1, 18, 4, 20, 1, 2, 11, 11, 10, 15, 16, 15, 15, 13, 14, 24]"
38,"[2, 22, 17, 25, 17, 14, 14, 23, 23]"
39,"[21, 18, 4, 22, 10, 12, 25, 14, 23, 14]"
40,"[21, 9, 6, 3, 2, 4, 3, 10, 22, 11, 11, 25, 17, 24]"
41,"[2, 8, 2, 10, 17, 23]"
42,"[19, 19, 8, 19, 10, 25, 17, 16, 15]"
43,"[9, 5, 5, 9, 6, 1, 8, 11, 22, 23, 24, 23, 13]"
44,"[5, 12, 10, 11, 16, 25, 25, 15]"
45,"[8, 12, 11, 12, 10, 17, 25, 25, 16, 14, 23, 23, 13]"
46,"[6, 12, 10, 22, 16, 17, 24]"
47,"[4, 19, 9, 9, 3, 19, 22, 15, 25, 17, 17, 23, 13, 14]"
48,"[9, 22, 22, 17, 17, 25, 24, 13, 24]"
49,"[20, 6, 7, 5, 12, 12, 10, 25, 15, 23, 14, 14]"
50,"[18, 1, 3, 21, 6, 6, 4, 10, 11, 10, 10, 15, 25, 16, 24, 14, 23, 13]"
51,"[2, 21, 2, 10, 16, 17, 15, 16, 14]"
52,"[3, 9, 1, 7, 3, 21, 1, 22, 12, 23, 14, 24]"
53,"[20, 2, 2, 1, 9, 8, 7, 6, 12, 10, 11, 12, 17, 16, 17, 13, 23]"
54,"[19, 18, 11, 22, 12, 15, 25, 17, 24, 13]"
55,"[6, 6, 21, 18, 6, 19, 20, 12, 22, 25, 15, 17, 23]"
56,"[8, 7, 19, 19, 20, 8, 24, 14, 13]"
57,"[19, 6, 19, 25, 15, 16]"
58,"[18, 8, 7, 7, 20, 22, 10]"
59,"[9, 7, 19, 18, 9, 7, 2, 17, 25, 24, 14, 23]"
60,"[21, 10, 11, 22, 16, 17, 13, 23, 23]"
61,"[7, 1, 8, 4, 19, 7, 7, 12, 12, 15, 16, 14, 14, 13]"
62,"[7, 12, 14, 24, 13, 13]"
63,"[18, 8, 1, 4, 9, 5, 16, 16, 13]"
64,"[2, 11, 25, 15, 17, 13, 24, 14]"
65,"[21, 1, 5, 19, 18, 21, 12, 12, 16, 16]"
66,"[7, 3, 4, 18, 20, 11, 15, 25, 25, 14]"
67,"[7, 21, 7, 1, 2, 4, 18, 9, 11]"
68,"[2, 5, 18, 19, 21, 1, 10, 12, 11, 16, 15]"
69,"[19, 20, 19, 12, 22, 11, 10, 16, 25, 16, 17, 23, 13, 23]"
70,"[21, 18, 2, 20, 18, 18, 22, 17, 15, 15, 15, 23, 14, 14]"
71,"[18, 7, 19, 9, 4, 18, 10, 17]"
72,"[1, 3, 1, 4, 2, 21, 1, 20, 16, 15, 16, 17, 23]"
73,"[7, 18, 3, 3, 11, 12, 25, 16]"
74,"[9, 20, 11, 11, 15, 25, 13]"
75,"[1, 1, 2, 8, 4, 1, 7, 12, 16, 16, 17, 25]"
76,"[19, 6, 4, 9, 8, 16, 23]"
77,"[9, 18, 3, 12, 14, 23]"
78,"[18, 19, 19, 19, 20, 10, 25, 23, 14, 23, 24]"
79,"[4, 22, 12, 12, 11, 25, 16]"
80,"[19, 10, 22, 17, 23, 24, 13, 14]"
81,"[8, 8, 4, 6, 5, 11, 22, 11, 17, 15, 25, 14, 14]"
82,"[9, 18, 12, 10, 11, 11, 14, 13]"
83,"[19, 20, 2, 21, 4, 6, 6, 17, 15, 15, 15, 14]"
84,"[1, 22, 12, 16, 25, 14, 24, 14]"
85,"[21, 4, 18, 9, 4, 22, 10, 12, 10, 17]"
86,"[3, 21, 2, 7, 21, 3, 12, 12, 16, 15, 25, 15, 14, 13, 13]"
87,"[18, 21, 8, 7, 7, 3, 10, 12, 10, 22, 17, 15]"
88,"[1, 8, 9, 20, 6, 2, 5, 8, 15, 17, 24]"
89,"[8, 8, 18, 5, 4, 21, 8, 21, 11, 11, 11, 22, 25, 17, 25, 17, 23]"
90,"[8, 21, 21, 7, 4, 18, 6, 1, 12, 10, 10, 12, 17, 25]"
91,"[1, 9, 5, 2, 2, 8, 1, 4, 12, 12, 16, 25, 13, 14]"
92,"[1, 18, 21, 25, 23]"
93,"[18, 4, 19, 21, 7, 21, 21, 8, 25, 15, 16, 15, 14, 23, 13]"
94,"[1, 1, 23, 14]"
95,"[20, 1, 9, 20, 4, 6, 6, 25, 15, 23]"
96,"[9, 5, 5, 9, 22, 10, 22, 25, 15, 15, 15]"
97,"[9, 21, 19, 2, 20, 24, 13, 14]"
98,"[5, 4, 8, 5, 18, 8, 15, 17, 17]"
99,"[20, 19, 9, 11, 15, 16, 16, 17]"
100,"[4, 19, 4, 1, 5, 22, 11, 11, 12, 16, 24, 14, 24]"
101,"[18, 8, 7, 21, 1, 6, 12, 15, 13]"
102,"[4, 1, 2, 8, 1, 19, 9, 8, 11, 17, 25, 16, 17, 13, 23, 14, 24]"
103,"[8, 5, 20, 5, 1, 22, 16, 13, 24]"
104,"[9, 3, 1, 9, 3, 11, 12, 12, 15, 16, 17, 24, 23, 24, 23]"
105,"[1, 2, 4, 4, 9, 18, 10, 15, 15, 15, 25, 24, 13]"
106,"[1, 2, 4, 9, 6, 2, 20, 6, 22, 11, 12, 16, 14, 14, 14]"
107,"[4, 8, 20, 5, 5, 8, 22, 12, 17, 15, 15, 16, 14, 23]"
108,"[20, 3, 5, 19, 8, 12, 12, 11, 12, 15, 17, 24, 13]"
109,"[20, 8, 8, 2, 15, 25, 17, 15]"
110,"[19, 21, 21, 20, 1, 11, 16, 17, 16, 16, 23, 13]"
111,"[2, 4, 4, 7, 4, 5, 25]"
112,"[7, 6, 9, 22, 12, 17, 17, 25, 23, 14, 14]"
113,"[20, 3, 21, 22, 15, 25, 23, 24, 24]"
114,"[8, 5, 5, 1, 2, 20, 2, 7, 12, 10, 11, 12, 17, 16, 13]"
115,"[6, 19, 3, 10, 11, 10, 10, 14, 24, 14, 14]"
116,"[8, 6, 5, 9, 18, 25, 16, 14, 13]"
117,"[21, 12, 10, 15, 17, 23, 24, 24, 24]"
118,"[1, 12, 24, 14]"
119,"[2, 7, 3, 21, 1, 7, 10, 10, 12, 17, 15, 16, 16, 23]"
120,"[6, 5, 2, 4, 6, 20, 10, 12, 25, 23, 23]"
121,"[21, 20, 9, 1, 12, 22, 17, 24, 24, 23]"
122,"[2, 3, 3, 4, 10, 12, 22, 25, 24]"
123,"[18, 9, 18, 7, 6, 7, 2, 16, 25, 17]"
124,"[8, 21, 5, 2, 9, 18, 20, 3, 22, 11, 22, 15, 14]"
125,"[1, 19, 12, 23, 23, 24]"
126,"[19, 2, 8, 8, 2, 1, 11, 15, 17, 17, 16, 14, 13, 24, 14]"
127,"[7, 11, 11, 10, 15, 15, 25, 23, 14, 14]"
128,"[19, 4, 8, 3, 10, 12, 25, 15, 16, 17, 23]"
129,"[7, 18, 18, 6, 3, 6, 25, 16, 24, 23, 13]"
130,"[4, 18, 6, 3, 22, 11, 10, 11, 14, 23]"
